@relation oa-importance

@attribute class {general,important}
@attribute from_code string
@attribute from_agency string
@attribute name string
@attribute wenzhong numeric
@attribute wenhao numeric
@attribute date1 date yyyy-MM-dd
@attribute date2 date yyyy-MM-dd
@attribute to_1 string
@attribute to_2 string
@attribute date0_day date yyyy-MM-dd
@attribute date0_time date HH:mm

@data
general,?,教育部新闻办、新闻中心,教育舆情周报（2018年12月31日至2019年1月6日）,2,7,?,?,宣传部,网络信息中心,2019-01-10,11:00
general,?,陕西省委办公厅,中共陕西省委办公厅陕西省人民政府印发《关于加快推进农业适度规模经营的意见》的通知,0,30,?,?,校长办公室,?,2019-01-09,16:30
general,教财〔2019〕1号,教育部,教育部关于印发《教育部直属高校主要领导干部履行经济责任重要风险提示清单》的通知,1,26,?,?,纪委办公室,?,2019-01-09,11:09
important,中发[2018]46号,中共中央办公厅,中共中央关于印发《社会主义学院工作条例》的通知,0,33,?,?,统战部,?,2019-01-09,16:54
general,陕保委办发[2018]6号,陕西省委保密委员会办公室,关于印发《党政机关即时通信工具使用保密管理规定（试行）》和《党政机关网络新媒体信息发布保密管理规定（试行）》的通知,0,32,?,?,保密办,?,2019-01-09,16:44
general,?,中国核工业集团,邀请函,4,21,2019-01-21,2019-01-14,科研院,?,2019-01-09,16:21
important,教人司[2018]479号,教育部人事司,关于报送防治“吃空饷&quot;问题长效机制建设情况的通知,1,28,?,2019-01-14,人力资源部,?,2019-01-09,16:24
general,陕办发[2018]36号,陕西省委办公厅,中共陕西省委办公厅陕西省人民政府办公厅印发《关于加快构建政策体系培育新型农业经营主体的实施意见》的通知,0,31,?,?,校长办公室,?,2019-01-09,16:34
general,?,杨凌区人民政府,杨凌区人民政府关于拜访西安交通大学的函,4,17,?,2019-01-10,校长办公室,?,2019-01-08,15:21
general,陕教工组办〔2019〕1号,陕西省委教育工委,中共陕西省委教育工委办公室关于召开2018年度高校党委书记抓党建述职评议考核工作会议的通知,0,25,2019-01-14,2019-01-10,组织部,?,2019-01-08,14:58
general,教政法司函[2019]1号,教育部政法司,关于征求对《关于进一步加强高等学校法治工作的意见（征求意见稿）》的意见的函,1,23,?,2019-01-14,校长办公室,?,2019-01-08,15:46
general,环核安中心函[2019]4号,环境保护部核与辐射安全中心,关于推荐生态环境部（国家核安全局）第三届核安全与环境专家委员会委员候选人的函,4,19,?,2019-01-14,科研院,?,2019-01-08,15:38
general,?,西安市教育局,西安市教育局关于邀请参加2019年西安市迎春团拜会的函,4,18,2019-02-02,2019-01-09,党委办公室,?,2019-01-08,15:33
general,陕教工稳〔2019〕1号,陕西省委教育工委,中共陕西省委教育工委关于做好2019年寒假和全国全省“两会”期间高校稳定安全工作的通知,0,23,?,2019-01-15,党委办公室,保卫处,2019-01-07,18:27
general,?,陕西省委教育工委,王建利在全省教育系统传染病防控暨校园安全工作紧急视频会上的讲话,0,16,?,?,后勤保障部,校医院,2019-01-07,09:08
general,市函[2018]9号,西安市委,中共西安市委关于西安市支持西安交通大学发展有关工作进展情况的函,0,18,?,?,校长办公室,?,2019-01-07,16:18
general,教财厅函〔2018〕29号,教育部办公厅,教育部办公厅公安部办公厅财政部办公厅国家税务总局办公厅关于配合个人所得税专项附加扣除完善教育管理信息系统数据信息的紧急通知,1,12,?,2019-01-31,网络信息中心,人力资源部,2019-01-04,16:31
general,陕教工办〔2019〕1号,省委教育工委,中共陕西省委教育工委办公室关于省委常委班子2018年度民主生活会征求意见的通知,0,14,?,2019-01-07,党委办公室,?,2019-01-04,17:26
general,陕教工统办〔2019〕1号,省委教育工委办公室,中共陕西省委教育工委办公室关于报送全省统战部长会议交流材料的通知,0,13,?,2019-01-09,统战部,?,2019-01-04,17:22
general,陕教师办[2018]39号,省委教育工委办公室,关于深入学习贯彻教育部教师职业行为“十项准则”系列文件精神全面加强师德师风建设的通知,0,15,?,?,人力资源部,研究生院,2019-01-04,17:29
general,陕办函[2019]2号,陕西省委办公厅,关于召开全省教育大会的通知,0,11,2019-01-09,2019-01-07,校长办公室,?,2019-01-04,09:00
general,?,海南大学,海南大学感谢信,4,8,?,?,校长办公室,?,2019-01-03,16:06
general,?,陕西省委办公厅,陕办通报[2018]第59期（胡和平韩勇贺荣同志在省委政协工作会议上的讲话）,2,5,?,?,统战部,?,2019-01-03,16:31
general,陕办发[2018]43号,陕西省委办公厅,中共陕西省委办公厅关于印发《陕西省关于人大预算审查监督重点向支出预算和政策拓展的实施意见》的通知,0,10,?,?,校长办公室,?,2019-01-03,16:23
general,?,陕西省委办公厅,陕办通报2018年第61期（胡和平刘国中同志在省委第十三届四次全会上的讲话）,2,3,?,?,校长办公室,?,2019-01-03,16:19
general,?,陕西省委办公厅,陕办通报[2018]第60期（胡和平同志在陕西促进民营经济高质量发展暨表彰大会上的讲话）,2,4,?,?,校长办公室,?,2019-01-03,16:27
important,中委[2018]897号,中共中央办公厅,中共中央国务院关于表彰改革开放杰出贡献人员的决定,0,9,?,?,校长办公室,?,2019-01-03,15:57
general,陕教工组〔2019〕2号,省委教育工委,中共陕西省委教育工委关于认真开好2018年度高校校级党员领导人员民主生活会的通知,0,7,?,2019-01-10,组织部,?,2019-01-03,11:59
general,?,成都轨道交通集团有限公司,成都轨道交通集团有限公司关于征求《2019年科研项目申报计划》参与意向的函,4,9,?,2019-01-11,科研院,?,2019-01-03,16:07
general,组通字[2018]45号,中共中央组织部,中共中央组织部印发《关于湖南省开展县区党政正职政治建设考察情况的调研报告》的通知,0,8,?,?,组织部,?,2019-01-03,15:47
general,?,教育部新闻办、新闻中心,教育舆情周报（2018年12月24日至12月30日）,2,2,?,?,宣传部,网络信息中心,2019-01-03,14:54
general,?,四川大学,涂铭旌院士讣告,4,2,?,2019-01-03,校长办公室,?,2019-01-02,15:47
general,?,陕西省委办公厅,陕西工作交流第53期（壮大集体经济助力乡村振兴）,2,1,?,?,扶贫办,?,2019-01-02,17:06
